"","bbl, address_1, city, state","No_Match"
"275","3018090074, NYCHA-ARMSTRONG, New York, New York","No_Match"
"396","3001560001, 422 Fulton Street, New York, New York","No_Match"
"155","3019050040, 536 Myrtle Ave, New York, New York","No_Match"
"276","2029880001, 1463 VYSE AVE PLP #1, New York, New York","No_Match"
"397","1014830009, 511 East 71st Street, New York, New York","No_Match"
"156","1001811101, 6 Harrison Street, New York, New York","No_Match"
"277","3043760001, 765 STANLEY AV ENT, New York, New York","No_Match"
"398","3002340024, 169 Columbia Heights, New York, New York","No_Match"
"157","1032630225, 75 W. 238th Street, New York, New York","No_Match"
"278","2022150623, 2811 EXTERIOR ST BLG #4-MARBLE HILL HSE, New York, New York","No_Match"
"399","1015520023, 389 East 89th Street, New York, New York","No_Match"
"158","1015390001, 200 East 94th Street, New York, New York","No_Match"
"279","2022150116, 2811 EXTERIOR ST BLG #4-MARBLE HILL HSE, New York, New York","No_Match"
"159","2031780020, 476 Jefferson Street, New York, New York","No_Match"
"50","1008110068, 469 Seventh Avenue, New York, New York","No_Match"
"51","2023310043, 349 East 149th Street, New York, New York","No_Match"
"52","4020901001, 97-12 63 Drive, New York, New York","No_Match"
"53","1008410063, 24 West 40th Street, New York, New York","No_Match"
"54","1005440038, 32-50 Cooper Square, New York, New York","No_Match"
"55","1007530048, 308-312 West 30th Street, New York, New York","No_Match"
"56","1021340200, 775 Riverside Drive, New York, New York","No_Match"
"57","1021340250, 156-08 Riverside Drive West, New York, New York","No_Match"
"58","1021800134, 69 Bennett Avenue, New York, New York","No_Match"
"59","1021800154, 105-115 Bennett Avenue, New York, New York","No_Match"
"280","1018290039, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"160","3001660001, 33 Bond Street, New York, New York","No_Match"
"281","1018290040, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"161","2024070005, 868-876 Courtlandt Avenue, New York, New York","No_Match"
"282","1018290041, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"162","1016070000, 1212 5th Avenue, New York, New York","No_Match"
"283","1018290042, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"163","1087190020, 150 West End Avenue, New York, New York","No_Match"
"284","1018290043, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"164","2001250010, 38-04 48th Street, New York, New York","No_Match"
"285","1018290045, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"165","2066320001, 141-18 78th Road, New York, New York","No_Match"
"286","1018290046, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"166","1009440022, 333 East 38th Street, New York, New York","No_Match"
"287","1018290047, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"167","1013170011, 214-226 E. 44th Street, New York, New York","No_Match"
"288","1018290048, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"168","1075021577, 525 E 80th St., New York, New York","No_Match"
"289","1018290049, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"169","2004980009, 557 Broadway, New York, New York","No_Match"
"60","1012960046, 150 East 42 Street, New York, New York","No_Match"
"61","4032580006, 109-20 Queens Boulevard, New York, New York","No_Match"
"62","4050400019, 132-35 Sanford Avenue, New York, New York","No_Match"
"63","1001531002, 280 Broadway, New York, New York","No_Match"
"64","1008820069, 90 Lexington Avenue, New York, New York","No_Match"
"65","1011670011, 235 West 75th Street, New York, New York","No_Match"
"66","1008820021, 88 Lexington Avenue, New York, New York","No_Match"
"67","1012100033, 100 West 80th Street, New York, New York","No_Match"
"68","3866810126, 1862 East 2nd Street, New York, New York","No_Match"
"69","3131930100, 227-15 North Conduit Avenue, New York, New York","No_Match"
"290","1018290051, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"170","3022830053, 235-245 BROOK AVE, New York, New York","No_Match"
"291","1018290052, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"171","3021340037, 450 Kent St, New York, New York","No_Match"
"292","1018290053, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"172","2023760007, 760 Melrose Ave, New York, New York","No_Match"
"293","1018290054, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"173","1032920014, 2964 Perry Avenue, New York, New York","No_Match"
"294","1018290055, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"174","1066090045, 431 Avenue P, New York, New York","No_Match"
"295","1018290056, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"175","1004820037, 200 Lafayette Street, New York, New York","No_Match"
"296","1018290057, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"176","4161131101, 260 Beach 81st Street, New York, New York","No_Match"
"297","1018290058, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"177","4073970034, 1245 Avenue X, New York, New York","No_Match"
"298","1018290059, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"178","3004390014, 44-01 21st Street, New York, New York","No_Match"
"299","1018290060, 204 WEST 114TH STREET - PLP BLDG 1, New York, New York","No_Match"
"179","1013000014, 466 Lexington Avenue, New York, New York","No_Match"
"70","1008340057, 18 West 33rd St., New York, New York","No_Match"
"71","1010139012, 234 W 42 St., New York, New York","No_Match"
"72","1018831002, 545 WEST 111TH ST., New York, New York","No_Match"
"73","1002850001, 179 Henry Street, New York, New York","No_Match"
"74","1018680061, 752 West End Avenue, New York, New York","No_Match"
"75","1007751001, 217 West 25 street, New York, New York","No_Match"
"76","3001920009, 195 -203 Grand Ave, New York, New York","No_Match"
"77","2028879100, 1450 Clay Avenue, New York, New York","No_Match"
"78","1010440029, 301 West 53rd Street, New York, New York","No_Match"
"79","1014380049, 300 E 64th Street, New York, New York","No_Match"
"180","4005040021, 11-12 30th Drive, New York, New York","No_Match"
"181","1015830050, 496-500A East 87th Street, New York, New York","No_Match"
"182","2042260016, 1776 Eastchester Road, New York, New York","No_Match"
"183","1004990001, 92 Greene Street, New York, New York","No_Match"
"184","1006360070, 150 Charles Street, New York, New York","No_Match"
"185","3011290013, 754 Pacific Street, New York, New York","No_Match"
"186","2019610027, 395 Clinton Avenue, New York, New York","No_Match"
"187","4049580048, 135-29 Northern Boulevard, New York, New York","No_Match"
"188","4051430024, 136-30 Sanford Avenue, New York, New York","No_Match"
"189","2048150037, 636 Brookyn Ave, New York, New York","No_Match"
"80","3001070009, 116 Nassau Street, New York, New York","No_Match"
"81","4051060007, 147-25 38th Ave, New York, New York","No_Match"
"82","4059380012, 18-05 215th St, New York, New York","No_Match"
"83","1006430027, 97 Horatio Street, New York, New York","No_Match"
"84","1012770052, 331 Madison Avenue, New York, New York","No_Match"
"85","1012800060, 420 Lexington Avenue, New York, New York","No_Match"
"86","1012770020, 317 Madison Avenue, New York, New York","No_Match"
"87","1007580016, 333 West 34th Street, New York, New York","No_Match"
"88","1013150024, 220 East 42nd Street, New York, New York","No_Match"
"89","4031000014, 65-50 Wetherole St, New York, New York","No_Match"
"190","1013750037, 530 Park Ave, New York, New York","No_Match"
"191","4161370014, c/o Trillion Asset Management, New York, New York","No_Match"
"192","1051410600, 99 Carver Loop, New York, New York","No_Match"
"193","2057090019, 3050 Colear Avenue, New York, New York","No_Match"
"194","1008310023, 1372 Broadway, New York, New York","No_Match"
"195","4003410006, 35-40 30TH STREET, New York, New York","No_Match"
"196","2042840005, 2040-2060 White Plains Road, New York, New York","No_Match"
"197","3070500181, 2930 West 30th Street, New York, New York","No_Match"
"198","2045450014, 3035 White Plains Road, New York, New York","No_Match"
"199","2023190120, 200 East 135th Street, New York, New York","No_Match"
